college_id,college_name,location,ranking,type,specializations_offered,average_cutoff_gre,average_cutoff_gate,average_cutoff_gmat,average_cutoff_sat,average_cutoff_toefl,average_cutoff_ielts,average_cutoff_gpa,tuition_fee_per_year,financial_aid_offered,application_deadline,program_duration,acceptance_rate,faculty_count,student_to_faculty_ratio,research_output,alumni_network_strength,campus_facilities,international_student_support,internship_opportunities,placement_rate,average_starting_salary,research_funding,industry_connections,accreditation,extracurricular_opportunities,housing_availability,preferred_countries,notable_alumni,program_language
1,College_1,"Mumbai, India",107,Public,Cyber Security,319,73,647,1407,85,8.8,3.22,55006,Yes,"December 10, 2024",3 years,60,489,17:1,Medium,Medium,"Labs, Libraries, Sports facilities",No,Yes,78,113439,$20M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_58,English
2,College_2,"Tokyo, Japan",179,Public,Robotics,307,51,622,1348,111,8.1,2.59,54019,No,"December 18, 2024",3 years,53,143,10:1,Medium,Strong,"Libraries, Sports fields",No,No,88,131098,$100M annually,Yes,ABET,"Clubs, Music",Yes,Australia,Alumni_99,French
3,College_3,"Mumbai, India",217,Private,Machine Learning,315,99,616,1417,115,8.8,3.34,17915,Yes,"December 2, 2024",4 years,73,392,6:1,Medium,Strong,"Dorms, Labs",Yes,No,53,142615,$59M annually,No,None,"Sports, Clubs, Hackathons",Yes,Germany,Alumni_94,German
4,College_4,"Tokyo, Japan",6,Private,Robotics,292,70,708,1479,110,8.1,2.88,32104,No,"December 28, 2024",2 years,70,406,14:1,Medium,Weak,"Libraries, Sports fields",No,No,68,90173,$86M annually,No,None,"Sports, Clubs, Hackathons",Yes,India,Alumni_80,French
5,College_5,"Mumbai, India",152,Private,Mechanical Design,317,86,785,1542,85,8.2,2.54,12816,Yes,"December 29, 2024",2 years,46,74,20:1,Low,Medium,"Dorms, Labs",Yes,Yes,78,145489,$10M annually,No,ABET,"Sports, Clubs, Hackathons",Yes,Japan,Alumni_88,French
6,College_6,"Sydney, Australia",211,Private,Robotics,314,66,786,1358,111,7.1,3.65,43919,Yes,"December 8, 2024",2 years,29,443,15:1,High,Medium,"Labs, Libraries, Sports facilities",No,Yes,53,135405,$82M annually,No,None,"Clubs, Music",No,UK,Alumni_97,English
7,College_7,"Mumbai, India",286,Public,Machine Learning,327,68,799,1416,109,8.0,3.49,52081,Yes,"December 31, 2024",3 years,77,99,5:1,High,Strong,"Libraries, Sports fields",No,Yes,73,57353,$21M annually,No,None,"Sports, Music",No,Japan,Alumni_31,Hindi
8,College_8,"California, USA",73,Public,Data Science,310,53,786,1246,101,6.5,3.43,26052,Yes,"December 2, 2024",2 years,43,60,18:1,Medium,Medium,"Libraries, Sports fields",No,No,50,80119,$79M annually,Yes,ABET,"Sports, Clubs, Hackathons",Yes,USA,Alumni_6,French
9,College_9,"Mumbai, India",3,Public,Artificial Intelligence,321,64,673,1205,100,6.7,3.56,49970,Yes,"December 5, 2024",3 years,54,158,12:1,High,Strong,"Libraries, Sports fields",No,Yes,100,115218,$49M annually,Yes,None,"Sports, Clubs, Hackathons",Yes,Germany,Alumni_46,German
10,College_10,"Tokyo, Japan",81,Public,Robotics,318,83,770,1393,96,6.3,2.99,54390,No,"December 15, 2024",2 years,73,485,14:1,High,Medium,"Libraries, Sports fields",No,Yes,91,140371,$64M annually,No,None,"Clubs, Music",Yes,India,Alumni_79,English
11,College_11,"Tokyo, Japan",74,Public,Robotics,318,68,796,1357,96,6.7,2.88,56057,No,"December 18, 2024",1 years,43,359,17:1,High,Strong,"Libraries, Sports fields",Yes,Yes,89,88911,$80M annually,No,None,"Sports, Clubs, Hackathons",Yes,Australia,Alumni_55,German
12,College_12,"Berlin, Germany",262,Private,Cyber Security,311,54,601,1415,103,8.3,3.49,32865,Yes,"December 9, 2024",3 years,35,150,10:1,High,Strong,"Labs, Libraries, Sports facilities",Yes,No,52,145230,$41M annually,No,None,"Sports, Clubs, Hackathons",No,USA,Alumni_21,English
13,College_13,"Mumbai, India",297,Private,Cyber Security,305,82,748,1574,102,8.8,3.0,40604,No,"December 8, 2024",3 years,88,368,17:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,No,99,128857,$54M annually,Yes,None,"Sports, Clubs, Hackathons",No,Australia,Alumni_62,French
14,College_14,"Mumbai, India",136,Public,Machine Learning,333,97,686,1566,86,8.1,2.9,53080,Yes,"December 24, 2024",3 years,82,171,11:1,Medium,Strong,"Libraries, Sports fields",Yes,No,90,66557,$94M annually,No,None,"Sports, Clubs, Hackathons",No,Japan,Alumni_24,Hindi
15,College_15,"Sydney, Australia",273,Private,Artificial Intelligence,332,55,605,1216,114,6.7,3.5,43370,Yes,"December 31, 2024",1 years,32,427,11:1,Medium,Medium,"Recreational Centers, Labs",No,No,90,54397,$82M annually,No,None,"Clubs, Music",No,USA,Alumni_25,English
16,College_16,"Tokyo, Japan",264,Public,Machine Learning,291,51,676,1377,112,7.7,3.2,22196,Yes,"December 5, 2024",3 years,42,240,15:1,High,Medium,"Dorms, Labs",No,No,66,139714,$46M annually,Yes,None,"Sports, Music",Yes,USA,Alumni_57,German
17,College_17,"Sydney, Australia",141,Private,Artificial Intelligence,318,50,690,1370,95,6.3,2.72,54343,No,"December 16, 2024",4 years,83,122,15:1,Low,Weak,"Labs, Libraries, Sports facilities",No,Yes,50,122551,$99M annually,Yes,None,"Sports, Music",No,Japan,Alumni_76,Hindi
18,College_18,"Mumbai, India",37,Public,Artificial Intelligence,297,96,794,1338,91,8.4,3.37,37795,Yes,"December 27, 2024",2 years,84,470,18:1,High,Weak,"Labs, Libraries, Sports facilities",Yes,No,60,135636,$14M annually,No,None,"Sports, Clubs, Hackathons",No,USA,Alumni_49,Mandarin
19,College_19,"Sydney, Australia",265,Private,Machine Learning,303,82,639,1536,81,7.8,3.79,45374,No,"December 14, 2024",3 years,78,205,18:1,Medium,Strong,"Recreational Centers, Labs",Yes,Yes,76,57367,$23M annually,Yes,None,"Sports, Music",Yes,India,Alumni_64,German
20,College_20,"Sydney, Australia",149,Public,Mechanical Design,311,96,722,1268,85,7.6,3.45,18518,Yes,"December 5, 2024",4 years,81,233,12:1,Medium,Weak,"Labs, Libraries, Sports facilities",No,No,89,135603,$61M annually,No,None,"Sports, Music",No,Germany,Alumni_55,English
21,College_21,"California, USA",232,Private,Cyber Security,336,51,712,1420,119,8.2,3.65,38250,Yes,"December 5, 2024",2 years,40,298,19:1,Medium,Weak,"Recreational Centers, Labs",Yes,Yes,88,59245,$51M annually,Yes,None,"Sports, Music",Yes,India,Alumni_85,Mandarin
22,College_22,"California, USA",34,Private,Data Science,296,53,669,1389,81,7.6,3.73,25612,No,"December 21, 2024",1 years,52,213,6:1,High,Strong,"Libraries, Sports fields",No,No,70,88269,$59M annually,Yes,ABET,"Sports, Music",Yes,Germany,Alumni_19,French
23,College_23,"California, USA",54,Public,Machine Learning,309,95,624,1207,82,7.8,2.84,35477,No,"December 23, 2024",4 years,25,125,12:1,High,Weak,"Libraries, Sports fields",No,No,78,139850,$29M annually,No,None,"Clubs, Music",Yes,Japan,Alumni_6,Japanese
24,College_24,"Mumbai, India",237,Private,Robotics,306,74,681,1246,88,8.3,3.88,16846,No,"December 3, 2024",4 years,57,414,12:1,Low,Medium,"Libraries, Sports fields",Yes,No,88,139546,$60M annually,Yes,None,"Clubs, Music",Yes,India,Alumni_59,Hindi
25,College_25,"Berlin, Germany",267,Private,Mechanical Design,325,67,648,1380,91,8.6,2.96,37246,Yes,"December 3, 2024",4 years,19,206,16:1,Low,Strong,"Labs, Libraries, Sports facilities",Yes,No,60,52015,$57M annually,Yes,ABET,"Sports, Clubs, Hackathons",No,USA,Alumni_97,English
